Date,Open,High,Low,Close,Adj Close,Volume
2022-12-26,661.000000,690.900024,661.000000,688.000000,684.714661,2728756
2022-12-27,693.500000,698.700012,681.549988,692.599976,689.292725,1862730
2022-12-28,690.000000,693.500000,685.000000,687.049988,683.769226,944339
2022-12-29,686.599976,686.599976,681.349976,683.700012,680.435242,978328
2022-12-30,686.000000,692.250000,683.299988,684.599976,681.330872,878093
2023-01-02,685.000000,714.599976,684.700012,709.500000,706.112000,2988258
2023-01-03,718.000000,737.799988,715.750000,734.599976,731.092163,4845441
2023-01-04,736.900024,746.000000,728.000000,731.000000,727.509338,3772736
2023-01-05,733.849976,738.299988,722.599976,727.799988,724.324646,1602415
2023-01-06,727.799988,729.400024,705.200012,707.299988,703.922485,1625158
2023-01-09,716.000000,718.000000,708.049988,711.599976,708.201965,1268499
2023-01-10,711.700012,718.500000,708.500000,715.000000,711.585754,1546064
2023-01-11,714.549988,723.500000,710.549988,715.099976,711.685242,1322852
2023-01-12,716.099976,717.549988,703.099976,705.400024,702.031616,1156008
2023-01-13,706.450012,716.200012,705.250000,712.799988,709.396240,1241951
2023-01-16,714.000000,718.599976,707.700012,709.200012,705.813477,746717
2023-01-17,708.000000,711.500000,698.700012,705.700012,702.330200,981024
2023-01-18,707.000000,709.099976,703.099976,706.599976,703.225830,601657
2023-01-19,705.000000,711.000000,700.299988,701.599976,698.249695,651600
2023-01-20,702.000000,705.299988,695.099976,698.549988,695.214294,528700
2023-01-23,700.000000,704.849976,698.200012,700.900024,697.553101,530547
2023-01-24,702.000000,714.500000,700.000000,702.099976,698.747314,1092923
2023-01-25,703.000000,704.950012,686.000000,689.400024,686.108032,864582
2023-01-27,691.000000,692.500000,660.000000,665.950012,662.770020,1736675
2023-01-30,649.000000,684.000000,639.200012,656.500000,653.365112,3024474
2023-01-31,660.000000,662.900024,650.799988,653.299988,650.180359,1811224
2023-02-01,660.000000,665.400024,582.349976,598.450012,595.592285,6326960
2023-02-02,583.150024,606.000000,583.150024,599.099976,596.239197,3377223
2023-02-03,602.099976,604.500000,586.000000,599.049988,596.189453,2276729
2023-02-06,602.000000,607.400024,597.000000,599.900024,597.035400,1567204
2023-02-07,602.000000,618.200012,601.250000,603.049988,600.170349,2084510
2023-02-08,605.000000,612.599976,604.500000,610.250000,607.335938,1374494
2023-02-09,613.349976,618.000000,609.599976,613.150024,610.222107,1434333
2023-02-10,630.000000,640.000000,617.049988,620.049988,617.089172,3943115
2023-02-13,621.000000,623.650024,605.349976,606.700012,603.802917,1315642
2023-02-14,605.049988,609.700012,596.200012,598.049988,595.194214,1528074
2023-02-15,595.099976,603.950012,595.099976,601.000000,598.130127,933878
2023-02-16,604.049988,606.250000,602.000000,602.799988,599.921509,703040
2023-02-17,603.000000,605.750000,600.299988,602.650024,599.772278,642400
2023-02-20,605.000000,605.000000,596.400024,598.500000,595.642090,885378
2023-02-21,600.000000,601.299988,595.900024,597.150024,594.298523,648784
2023-02-22,597.000000,598.700012,593.450012,595.950012,593.104248,761922
2023-02-23,596.000000,598.950012,590.099976,590.900024,588.078369,916630
2023-02-24,591.000000,594.799988,584.000000,584.599976,581.808411,1119544
2023-02-27,584.599976,585.400024,566.000000,567.750000,565.038879,1912489
2023-02-28,568.000000,582.750000,567.599976,578.400024,575.638062,2207400
2023-03-01,581.299988,604.549988,580.250000,601.700012,598.826782,1822832
2023-03-02,601.900024,607.299988,597.000000,601.099976,598.229614,1383893
2023-03-03,609.000000,619.000000,607.700012,615.450012,612.511108,2101679
2023-03-06,620.000000,625.000000,609.900024,611.650024,608.729309,1404596
2023-03-08,610.400024,610.400024,602.000000,602.950012,600.070801,900075
2023-03-09,605.000000,606.349976,592.500000,598.549988,595.691833,1465695
2023-03-10,595.000000,596.950012,590.049988,595.500000,592.656372,649101
2023-03-13,595.500000,598.500000,580.000000,582.099976,579.320374,1137818
2023-03-14,585.049988,587.450012,575.000000,578.500000,575.737549,879186
2023-03-15,581.000000,586.750000,576.000000,577.450012,574.692566,817032
2023-03-16,577.000000,578.900024,570.750000,572.450012,569.716492,972000
2023-03-17,575.349976,582.099976,575.000000,579.900024,577.130920,696661
2023-03-20,579.000000,579.049988,570.200012,574.900024,572.154785,725166
2023-03-21,577.799988,578.750000,571.549988,572.549988,569.815979,779267
2023-03-22,573.000000,577.750000,572.000000,572.750000,570.015015,931326
2023-03-23,573.099976,575.000000,568.000000,568.799988,566.083862,748086
2023-03-24,570.000000,573.000000,559.000000,560.000000,557.325928,1305399
2023-03-27,560.099976,562.650024,539.099976,544.099976,541.501831,1741356
2023-03-28,546.000000,549.349976,535.000000,536.799988,534.236694,1821333
2023-03-29,537.500000,542.700012,530.049988,531.849976,529.310303,2245923
2023-03-31,534.549988,546.950012,531.099976,534.349976,531.798340,2030925
2023-04-03,540.000000,548.549988,537.599976,544.549988,541.949646,1228058
2023-04-05,549.400024,555.500000,546.650024,549.950012,547.323914,1156963
2023-04-06,551.000000,556.400024,548.150024,550.549988,547.921021,1088256
2023-04-10,554.450012,556.000000,548.500000,549.299988,546.677002,818437
2023-04-11,550.099976,555.250000,549.299988,550.500000,547.871277,659636
2023-04-12,552.700012,553.900024,549.000000,549.299988,546.677002,682171
2023-04-13,549.900024,553.450012,548.200012,550.950012,548.319153,562523
2023-04-17,550.950012,551.349976,544.000000,544.599976,541.999390,947673
2023-04-18,546.099976,552.299988,546.099976,548.450012,545.831055,612736
2023-04-19,549.000000,550.000000,545.000000,546.500000,543.890381,482728
2023-04-20,547.750000,556.200012,546.450012,551.900024,549.264587,731513
2023-04-21,550.599976,550.599976,545.099976,548.000000,545.383179,655602
2023-04-24,548.900024,553.799988,547.500000,549.400024,546.776550,446849
2023-04-25,551.000000,556.000000,547.200012,548.299988,545.681763,987652
2023-04-26,548.299988,550.349976,547.049988,547.750000,545.134399,498401
2023-04-27,548.000000,553.049988,543.000000,545.700012,543.094177,1151408
2023-04-28,548.500000,552.799988,546.549988,549.900024,547.274170,1231240
2023-05-02,552.000000,554.599976,549.200012,550.049988,547.423401,1224198
2023-05-03,550.950012,552.900024,550.000000,551.349976,548.717163,856689
2023-05-04,552.000000,566.599976,549.099976,552.450012,549.811951,4283342
2023-05-05,552.500000,565.349976,551.650024,560.049988,557.375671,2503952
2023-05-08,563.000000,567.000000,562.000000,562.700012,560.013000,1104965
2023-05-09,564.450012,566.450012,555.950012,557.349976,554.688538,1015395
2023-05-10,558.750000,560.299988,555.099976,557.799988,555.136414,589178
2023-05-11,559.950012,563.700012,559.000000,561.000000,558.321106,680822
2023-05-12,561.000000,564.450012,557.500000,562.099976,559.415833,892781
2023-05-15,564.000000,573.000000,561.200012,567.650024,564.939392,2164688
2023-05-16,569.000000,574.549988,566.400024,567.500000,564.790100,902155
2023-05-17,568.000000,570.950012,565.900024,570.000000,567.278137,862004
2023-05-18,572.000000,576.849976,567.000000,568.150024,565.437012,964354
2023-05-19,570.000000,570.049988,562.099976,565.000000,562.302002,515091
2023-05-22,569.000000,579.299988,566.700012,577.500000,574.742371,1506327
2023-05-23,581.000000,594.500000,580.900024,590.150024,587.331970,2726826
2023-05-24,594.150024,604.200012,592.049988,593.900024,591.064026,2488874
2023-05-25,607.000000,615.500000,601.000000,603.599976,600.717712,5187933
2023-05-26,608.599976,610.200012,603.099976,604.299988,601.414368,1195590
2023-05-29,610.000000,610.099976,603.299988,605.200012,602.310059,1131333
2023-05-30,605.500000,606.450012,599.500000,600.900024,598.030640,720683
2023-05-31,599.450012,599.450012,593.000000,595.150024,592.308105,720695
2023-06-01,595.000000,600.500000,593.950012,597.150024,594.298523,694568
2023-06-02,599.099976,601.400024,596.099976,596.849976,593.999939,507824
2023-06-05,598.500000,602.000000,595.950012,596.599976,593.751099,641136
2023-06-06,598.049988,599.750000,596.000000,597.750000,594.895630,480880
2023-06-07,599.000000,605.000000,597.500000,601.349976,598.478455,809884
2023-06-08,602.349976,610.400024,602.299988,603.400024,600.518677,1424334
2023-06-09,605.000000,607.000000,600.349976,601.950012,599.075623,660925
2023-06-12,598.799988,601.500000,595.049988,597.049988,594.198975,803879
2023-06-13,597.700012,600.750000,597.700012,598.900024,596.040161,400863
2023-06-14,599.900024,601.900024,595.250000,596.000000,593.153992,644399
2023-06-15,596.000000,604.950012,595.049988,596.400024,593.552124,847451
2023-06-16,596.400024,606.700012,596.400024,604.450012,601.563660,1405526
2023-06-19,605.000000,620.950012,603.549988,618.299988,615.347473,2500627
2023-06-20,620.000000,632.500000,619.049988,630.349976,627.339966,3041047
2023-06-21,636.599976,639.750000,633.049988,636.049988,633.012756,1580109
2023-06-22,637.900024,654.000000,636.650024,641.750000,638.685547,3120722
2023-06-23,643.000000,646.900024,622.750000,624.950012,621.965759,1538801
2023-06-26,624.950012,625.799988,613.700012,615.900024,612.958984,946727
2023-06-27,616.299988,620.500000,611.750000,616.799988,613.854675,975533
2023-06-28,616.799988,616.799988,616.799988,616.799988,613.854675,0
2023-06-30,622.099976,633.500000,620.200012,632.250000,629.230896,1371193
2023-07-03,635.000000,637.849976,628.000000,629.049988,626.046143,888170
2023-07-04,630.750000,632.750000,624.299988,625.900024,622.911255,625593
2023-07-05,626.000000,629.500000,625.000000,626.750000,623.757141,569014
2023-07-06,625.099976,631.349976,624.000000,627.900024,624.901672,624168
2023-07-07,626.500000,630.700012,621.250000,622.599976,619.626953,711064
2023-07-10,623.000000,623.700012,617.000000,618.549988,615.596313,791576
2023-07-11,623.000000,629.900024,620.599976,621.799988,618.830811,608461
2023-07-12,623.099976,624.000000,618.000000,620.450012,617.487244,523272
2023-07-13,621.000000,624.400024,614.250000,615.700012,612.759949,802085
2023-07-14,616.849976,620.000000,615.799988,618.700012,615.745605,534996
2023-07-17,617.500000,625.000000,617.500000,620.900024,617.935120,711158
2023-07-18,624.000000,625.950012,618.000000,620.700012,617.736084,701393
2023-07-19,621.900024,623.400024,619.500000,620.349976,617.387695,501945
2023-07-20,621.500000,629.450012,619.049988,628.250000,625.250000,1166529
2023-07-21,626.750000,642.900024,623.500000,635.750000,635.750000,2019022
2023-07-24,635.750000,640.000000,625.000000,626.650024,626.650024,927514
2023-07-25,626.750000,630.799988,621.049988,623.049988,623.049988,671845
2023-07-26,624.599976,630.599976,623.799988,627.950012,627.950012,651954
2023-07-27,627.900024,635.299988,627.900024,630.250000,630.250000,705149
2023-07-28,630.000000,633.450012,624.500000,626.750000,626.750000,646004
